Year,Player,Age,Hometown,Home State,Tm,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,Height (inches),Weight,College,Conference,College wins,College losses,DOB,Draft Round,Draft Year,Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2006,LaDainian Tomlinson,27,Rosebud,TX,SDG,16,16,2,3,20,2,0,348,1815,5.22,28,56,508,9.07,3,RB,427,70,221,TCU,Big 12,138,49,6/23/1979,1,2001,0,4.46,18,40.5,0,4.21,6.84
2013,Peyton Manning,37,New Orleans,LA,DEN,16,16,450,659,5477,55,10,32,-31,-0.97,1,0,0,,0,QB,410,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Tom Brady,30,San Mateo,CA,NWE,16,16,398,578,4806,50,8,37,98,2.65,2,0,0,,0,QB,398,76,225,Michigan,Big Ten,124,64,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2011,Aaron Rodgers,28,Chico,CA,GNB,15,15,343,502,4643,45,6,60,257,4.28,3,0,0,,0,QB,397,74,223,California,Pac 12,90,94,12/2/1983,1,2005,39,4.71,0,34.5,110,0,7.39
2011,Drew Brees,32,Austin,TX,NOR,16,16,468,657,5476,46,14,21,86,4.1,1,0,0,,0,QB,396,73,209,Purdue,Big Ten,92,94,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2004,Daunte Culpepper,27,Ocala,FL,MIN,16,16,379,548,4717,39,11,88,406,4.61,2,0,0,,0,QB,381,76,264,Central Florida,American,99,86,1/28/1977,1,1999,18,4.52,0,39,122,4.13,7.21
2000,Marshall Faulk,27,New Orleans,LA,STL,14,14,0,0,0,0,0,253,1359,5.37,18,81,830,10.25,8,RB,381,70,211,San Diego St.,Mountain West,77,104,2/26/1973,1,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Cam Newton,22,College Park,GA,CAR,16,16,310,517,4051,21,17,126,706,5.6,14,1,27,27,0,QB,373,78,260,Auburn,SEC,130,61,5/11/1989,1,2011,21,4.56,0,35,126,4.18,6.92
2003,Priest Holmes,30,Fort Smith,AR,KAN,16,16,0,1,0,0,0,320,1420,4.44,27,74,690,9.32,0,RB,373,69,213,Texas,Big 12,149,45,10/7/1973,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Priest Holmes,29,Fort Smith,AR,KAN,14,14,0,1,0,0,0,313,1615,5.16,21,70,672,9.6,3,RB,373,69,213,Texas,Big 12,149,45,10/7/1973,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Tom Brady,34,San Mateo,CA,NWE,16,16,401,611,5235,39,12,43,109,2.53,3,0,0,,0,QB,370,76,225,Michigan,Big Ten,124,64,8/3/1977,6,2000,33,5.28,0,24.5,99,4.38,7.2
2005,Shaun Alexander,28,Florence,KY,SEA,16,16,0,0,0,0,0,370,1880,5.08,27,15,78,5.2,1,RB,364,71,225,Alabama,SEC,114,58,8/30/1977,1,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Peyton Manning,28,New Orleans,LA,IND,16,16,336,497,4557,49,10,25,38,1.52,0,0,0,,0,QB,362,77,230,Tennessee,SEC,113,75,3/24/1976,1,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Drew Brees,34,Austin,TX,NOR,16,16,446,650,5162,39,12,35,52,1.49,3,0,0,,0,QB,358,73,209,Purdue,Big Ten,92,94,1/15/1979,2,2001,28,4.83,0,32,105,4.21,7.09
2009,Aaron Rodgers,26,Chico,CA,GNB,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,,0,QB,351,74,0,California,Pac 12,90,94,12/2/1983,1,2005,39,4.71,0,34.5,110,0,7.39
2000,Daunte Culpepper,23,Ocala,FL,MIN,16,16,297,474,3937,33,16,89,470,5.28,7,0,0,,0,QB,350,76,264,Central Florida,American,99,86,1/28/1977,1,1999,18,4.52,39,39,122,4.13,7.21
2009,Chris Johnson,24,Orlando,FL,TEN,16,16,0,1,0,0,0,358,2006,5.6,14,50,503,10.06,2,RB,349,71,195,East Carolina,American,97,90,9/23/1985,1,2008,10,4.24,0,35,0,0,0
2012,Drew Brees,33,Austin,TX,NOR,16,16,422,670,5177,43,19,15,5,0.33,1,0,0,,0,QB,346,73,0,Purdue,Big Ten,92,94,1/0/1900,2,2001,28,4.83,0,32,105,4.21,7.09
2011,Matthew Stafford,23,Tampa,FL,DET,16,16,421,663,5038,41,16,22,78,3.55,0,0,0,,0,QB,345,74,230,Georgia,SEC,142,53,2/7/1988,1,2009,38,4.81,0,30.5,107,4.47,7.06
2003,Ahman Green,26,Omaha,NE,GNB,16,16,0,0,0,0,0,355,1883,5.3,15,50,367,7.34,5,RB,345,73,217,Nebraska,Big Ten,134,61,2/16/1977,3,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Aaron Rodgers,29,Chico,CA,GNB,16,16,371,552,4295,39,8,54,259,4.8,2,1,-1,-1,0,QB,344,74,0,California,Pac 12,90,94,1/0/1900,1,2005,39,4.71,0,34.5,110,0,7.39
2003,LaDainian Tomlinson,24,Rosebud,TX,SDG,16,16,1,1,21,1,0,313,1645,5.26,13,100,725,7.25,4,RB,344,70,221,TCU,Big 12,138,49,6/23/1979,1,2001,0,4.46,40.5,40.5,0,4.21,6.84
2001,Marshall Faulk,28,New Orleans,LA,STL,14,14,0,1,0,0,0,260,1382,5.32,12,83,765,9.22,9,RB,343,70,211,San Diego St.,Mountain West,77,104,2/26/1973,1,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
